experiment,condition,subject,block,p,nll,bic,model
1,new_learn,14,6,0.017279949173698128,45.11507384902746,104.0456582560192,nll_gcc_eq_2
1,new_learn,14,6,53.243441629628386,45.11507384902746,104.0456582560192,nll_gcc_eq_2
1,new_learn,14,6,23.29730088754396,45.11507384902746,104.0456582560192,nll_gcc_eq_2
1,new_learn,14,6,99.99917857805865,45.92416954346558,105.66384964489544,nll_gcc_eq_3
1,new_learn,14,6,52.219380831561516,45.92416954346558,105.66384964489544,nll_gcc_eq_3
1,new_learn,14,6,19.887989060138864,45.92416954346558,105.66384964489544,nll_gcc_eq_3
1,new_learn,18,0,0.5038393897045352,69.31471805599453,138.62943611198907,nll_rand_guess
1,new_learn,18,0,0.6402589857262238,65.3418340383314,135.2888382626509,nll_bias_guess
1,new_learn,18,0,67.55057953682493,106.650283555083,222.5109074821422,nll_unix_0
1,new_learn,18,0,37.26462728681294,106.650283555083,222.5109074821422,nll_unix_0
1,new_learn,18,0,43.24744220394187,44.50860196131143,98.22754429459904,nll_unix_1
1,new_learn,18,0,21.872454561983773,44.50860196131143,98.22754429459904,nll_unix_1
1,new_learn,18,0,64.33972516147992,73.91605482593194,157.04245002384005,nll_uniy_0
1,new_learn,18,0,37.27766869469061,73.91605482593194,157.04245002384005,nll_uniy_0
1,new_learn,18,0,36.44683805232322,85.12627376738752,179.4628879067512,nll_uniy_1
1,new_learn,18,0,37.27731043872407,85.12627376738752,179.4628879067512,nll_uniy_1
1,new_learn,18,0,-0.9498908373582426,39.572294512938015,92.9600995838403,nll_glc_0
1,new_learn,18,0,26.07478924613976,39.572294512938015,92.9600995838403,nll_glc_0
1,new_learn,18,0,17.2547485008799,39.572294512938015,92.9600995838403,nll_glc_0
1,new_learn,18,0,0.999999875020952,44.521131013074154,102.85777258411258,nll_glc_1
